about	question	-6.249975
about	questions	-6.943122
about	quiet	-6.943122
about	radiance	-6.943122
about	ramble	-6.943122
about	read	-5.333685
about	regrets	-6.943122
about	remember	-4.545227
about	reservation	-6.943122
about	right	-6.943122
about	running	-6.249975
about	said	-6.943122
about	sat	-6.943122
about	say	-5.844510
about	school	-6.249975
about	secrets	-6.943122
about	share	-6.943122
about	she'll	-6.943122
about	shit	-6.943122
about	short	-6.943122
about	sisters	-6.943122
about	smart	-6.249975
about	smug	-6.943122
about	something	-4.545227
about	sorry	-6.943122
about	specifically	-6.943122
about	spend	-5.844510
about	starting	-6.943122
about	stayed	-6.943122
about	still	-6.943122
about	store	-6.943122
about	stories	-2.954138
about	story	-3.416762
about	storytelling	-6.943122
about	studying	-6.943122
about	stuff	-5.844510
about	supportive	-6.943122
about	sure	-6.943122
about	sweat	-6.943122
about	table	-6.943122
about	tail	-6.943122
about	take	-6.249975
about	takes	-6.249975
about	taking	-6.943122
about	tales	-6.943122
about	talk	-3.051302
about	talked	-3.852080
about	talking	-3.305536
about	talks	-5.556828
about	tell	-6.249975
about	telling	-5.556828
about	tells	-6.943122
about	thanksgiving	-6.943122
about	that	-6.249975
about	that's	-4.378173
about	the	-6.943122
about	their	-6.943122
about	them	-6.943122
about	there	-6.249975
about	there's	-6.249975
about	they	-6.943122
about	they're	-6.943122
about	thing	-4.640537
about	things	-4.997212
about	think	-3.724247
about	thinking	-5.151363
about	thought	-4.304065
about	to	-5.844510
about	told	-5.333685
about	truck	-6.943122
about	twice	-6.249975
about	typically	-6.943122
about	uh	-5.333685
about	um	-5.844510
about	understand	-6.249975
about	unsure	-6.943122
about	until	-6.249975
about	up	-6.943122
about	upset	-6.943122
about	us	-4.863681
about	usually	-6.943122
about	walk	-6.943122
about	warnings	-6.943122
about	was	-2.784239
about	way	-6.249975
about	weighed	-6.943122
about	well	-6.249975
about	were	-6.943122
about	what	-3.477387
about	within	-6.943122
about	wits	-6.943122
about	word	-6.943122
about	worried	-5.151363
about	worry	-5.844510
about	worrying	-6.249975
about	worse	-6.943122
about	write	-5.556828
about	writing	-5.556828
about	written	-6.943122
about	wrong	-6.943122
about	wrote	-6.943122
about	yeah	-6.943122
about	year	-6.943122
about	you	-4.235072
above	fly	-1.791759
above	mirror	-1.791759
above	tyvola	-1.791759
above	up	-0.693147
absence	her	0.000000
absolute	an	-1.098612
absolute	in	-1.098612
absolute	their	-1.098612
absolutely	an	-2.079442
absolutely	get	-2.772589
absolutely	is	-2.772589
absolutely	it's	-2.772589
absolutely	just	-0.826679
absolutely	they	-2.772589
absolutely	they're	-2.772589
absolutely	was	-2.079442
absorb	to	0.000000
absorbed	have	-0.693147
absorbed	really	-0.693147
abused	verbally	0.000000
academic	in	0.000000
academically	well	0.000000
accent	southern	-1.609438
accent	the	-0.510826
accent	your	-1.609438
accept	should	-0.693147
accept	you	-0.693147
acceptable	considered	-0.693147
acceptable	very	-0.693147
acceptance	and	0.000000
accepted	more	-1.386294
accepted	of	-1.386294
accepted	they	-1.386294
accepted	they've	-1.386294
accepting	up	0.000000
accident	an	-0.693147
accident	enough	-0.693147
accidentally	grandma	-1.098612
accidentally	he	-1.098612
accidentally	they	-1.098612
accompanying	man	0.000000
accord	honda	0.000000
according	and	-1.945910
according	convent	-1.945910
according	place	-1.945910
according	reason	-1.945910
according	something	-1.945910
according	story	-1.945910
according	um	-1.945910
account	fictionalized	0.000000
accurate	totally	0.000000
accuse	we	-0.693147
accuse	word	-0.693147
accused	everyone	-0.693147
accused	was	-0.693147
ace	as	0.000000
aching	was	0.000000
acknowledged	never	0.000000
acne	having	0.000000
acquainted	become	-1.098612
acquainted	better	-1.098612
acquainted	were	-1.098612
acquiesced	she	0.000000
acquired	soon	0.000000
