and--this	-12.113480
and-a-half	-12.113480
anderson	-11.014868
andersonville	-12.113480
andrea	-12.113480
andrew	-12.113480
andrew's	-11.420333
andrews	-11.420333
androv	-11.420333
andy	-9.715585
andy's	-12.113480
anecdotes	-11.420333
angel	-12.113480
angeles	-12.113480
angelina	-12.113480
angelou	-12.113480
angels	-11.014868
anger	-12.113480
angie	-10.727186
angle	-12.113480
angry	-10.034039
angus	-12.113480
animal	-10.167570
animals	-8.647744
animated	-11.420333
animorphs	-12.113480
anita	-12.113480
aniya	-12.113480
aniya's	-12.113480
ankle	-12.113480
ankles	-12.113480
ann	-10.321721
anne	-10.504042
annette	-11.420333
annex	-11.420333
annexed	-12.113480
anniversary	-10.504042
annoying	-12.113480
annual	-12.113480
anonymous	-12.113480
anonymously	-11.420333
another	-7.325989
anson	-11.420333
answer	-9.117748
answered	-10.034039
answering	-12.113480
antennas	-12.113480
anti-religious	-12.113480
antichrist	-12.113480
anticipated	-12.113480
anticipating	-12.113480
antithesis	-12.113480
antonio	-12.113480
anvil	-12.113480
anxiety	-12.113480
any	-6.529984
anybody	-8.399908
anyhow	-9.916256
anymore	-8.746184
anyone	-9.022438
anything	-6.756894
anytime	-10.504042
anyway	-7.549132
anyways	-9.715585
anywhere	-9.628574
apart	-10.321721
apartment	-9.068958
apartments	-11.420333
apiece	-12.113480
apostle	-12.113480
apparently	-9.628574
appeal	-12.113480
appealing	-11.420333
appearance	-12.113480
appearing	-12.113480
appetite	-12.113480
apple	-10.727186
applegate	-12.113480
apples	-12.113480
applicable	-12.113480
applied	-12.113480
applies	-11.420333
apply	-11.014868
applying	-12.113480
appoint	-12.113480
appreciate	-8.977986
appreciated	-10.504042
appreciates	-12.113480
appreciation	-11.014868
approaches	-12.113480
approaching	-11.420333
appropriate	-10.504042
approval	-12.113480
approved	-12.113480
approximately	-11.420333
april	-9.916256
apron	-11.420333
ar	-11.014868
arabic	-11.420333
arbor	-12.113480
arboretum	-12.113480
arc	-12.113480
arcade	-12.113480
arches	-12.113480
archie	-11.014868
archrival	-12.113480
archrivals	-12.113480
are	-6.173309
area	-7.659133
areas	-9.715585
aren't	-9.810895
argue	-12.113480
arguing	-12.113480
argument	-12.113480
arise	-12.113480
arm	-9.022438
armoires	-12.113480
arms	-10.321721
army	-9.169041
arnold	-12.113480
arollos	-12.113480
around	-6.688530
arranged	-11.014868
arranging	-12.113480
arrested	-11.014868
arrive	-11.420333
arrived	-9.340892
arrives	-12.113480
arrowood	-11.014868
art	-8.817643
arthritis	-12.113480
